Date,TradeStat,Sector,Measure,Value
1997-11-01,A,ME,WMF,2660.71788855
1997-11-01,A,ME,N,
1997-11-01,A,ME,R,
1997-11-01,A,UHR,WMF,659.45080094
1997-11-01,A,UHR,N,
1997-11-01,A,UHR,R,
1997-11-01,A,PI,WMF,514.87613914
1997-11-01,A,PI,N,
1997-11-01,A,PI,R,
1997-11-01,A,MET,WMF,792.10038922
1997-11-01,A,MET,N,
1997-11-01,A,MET,R,
1997-11-01,A,FZ,WMF,209.26506074
1997-11-01,A,FZ,N,
1997-11-01,A,FZ,R,
1997-11-01,A,TBS,WMF,334.38245193
1997-11-01,A,TBS,N,
1997-11-01,A,TBS,R,
1997-11-01,H,GT,WMF,192.88779894
1997-12-01,E,GT,WMF,8935.99082003
1997-12-01,E,GT,N,
1997-12-01,E,GT,R,
1997-12-01,E,CHEM,WMF,1479.58423735
1997-12-01,E,CHEM,N,
1997-12-01,E,CHEM,R,
1997-12-01,E,ME,WMF,2164.05528716
1997-12-01,E,ME,N,
1997-12-01,E,ME,R,
1997-12-01,E,UHR,WMF,114.20419722
1997-12-01,E,UHR,N,
1997-12-01,E,UHR,R,
1997-12-01,E,PI,WMF,274.37268966
1997-12-01,E,PI,N,
1997-12-01,E,PI,R,
1997-12-01,E,MET,WMF,850.82490965
1997-12-01,E,MET,N,
1997-12-01,E,MET,R,
1997-12-01,E,FZ,WMF,819.15701194
1997-12-01,E,FZ,N,
1997-12-01,E,FZ,R,
1997-12-01,E,TBS,WMF,740.92895106
1997-12-01,E,TBS,N,
1997-12-01,E,TBS,R,
1997-12-01,A,GT,WMF,9339.61210606
1997-12-01,A,GT,N,
1997-12-01,A,GT,R,
1997-12-01,A,CHEM,WMF,2712.83212905
1997-12-01,A,CHEM,N,
1997-12-01,A,CHEM,R,
1997-12-01,A,ME,WMF,2885.39519299
1997-12-01,A,ME,N,
1997-12-01,A,ME,R,
1997-12-01,A,UHR,WMF,715.61829742
1997-12-01,A,UHR,N,
1997-12-01,A,UHR,R,
1997-12-01,A,PI,WMF,537.66604791
1997-12-01,A,PI,N,
1997-12-01,A,PI,R,
1997-12-01,A,MET,WMF,816.58608233
1997-12-01,A,MET,N,
1997-12-01,A,MET,R,
1997-12-01,A,FZ,WMF,244.7506726
1997-12-01,A,FZ,N,
1997-12-01,A,FZ,R,
1997-12-01,A,TBS,WMF,339.52923299
1997-12-01,A,TBS,N,
1997-12-01,A,TBS,R,
1997-12-01,H,GT,WMF,403.62128603
1998-01-01,E,GT,WMF,9133.70035759
1998-01-01,E,GT,N,3.0
1998-01-01,E,GT,R,4.7
1998-01-01,E,CHEM,WMF,1517.16285043
1998-01-01,E,CHEM,N,11.7
1998-01-01,E,CHEM,R,10.2
1998-01-01,E,ME,WMF,1982.33099905
1998-01-01,E,ME,N,8.2
1998-01-01,E,ME,R,11.9
1998-01-01,E,UHR,WMF,114.47435802
1998-01-01,E,UHR,N,24.3
1998-01-01,E,UHR,R,17.3
1998-01-01,E,PI,WMF,282.72421314
1998-01-01,E,PI,N,1.5
1998-01-01,E,PI,R,-0.1
1998-01-01,E,MET,WMF,819.15778312
1998-01-01,E,MET,N,18.7
1998-01-01,E,MET,R,17.9
1998-01-01,E,FZ,WMF,1167.63232521
1998-01-01,E,FZ,N,24.6
1998-01-01,E,FZ,R,31.5
1998-01-01,E,TBS,WMF,727.19318486
1998-01-01,E,TBS,N,4.9
1998-01-01,E,TBS,R,3.6
1998-01-01,A,GT,WMF,8808.21410489
1998-01-01,A,GT,N,7.7
1998-01-01,A,GT,R,8.8
1998-01-01,A,CHEM,WMF,2543.02660839
1998-01-01,A,CHEM,N,1.2
1998-01-01,A,CHEM,R,2.6
1998-01-01,A,ME,WMF,2583.22220407
1998-01-01,A,ME,N,11.1
1998-01-01,A,ME,R,14.1
