location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220117T0800,0.41024542,0.0,4.6938257,212.47119
20220117T0900,1.7202454,0.0,3.7064266,209.05461
20220117T1000,2.6002455,0.0,8.161764,221.42366
20220117T1100,3.7602453,0.0,7.9932966,234.16235
20220117T1200,4.5902452,0.0,6.696387,233.74615
20220117T1300,5.5102453,0.0,5.6920996,251.56506
20220117T1400,5.9102454,0.0,6.162207,276.70984
20220117T1500,5.770245,0.0,2.968636,255.96376
20220117T1600,4.5802455,0.0,5.1919937,236.30994
20220117T1700,4.790245,0.0,4.1046314,232.12502
20220117T1800,3.6702452,0.0,4.2136917,199.98311
20220117T1900,3.2502456,0.0,3.4152596,198.43495
20220117T2000,2.9602456,0.0,0.35999998,360.0
20220117T2100,2.3802454,0.0,1.1384199,71.56504
20220117T2200,2.3202453,0.0,3.096837,35.53766
20220117T2300,1.3802454,0.0,3.0758414,69.443954
20220118T0000,1.0402454,0.0,3.8773184,68.19859
20220118T0100,0.7802454,0.0,2.968636,75.96376
20220118T0200,0.5602454,0.0,3.0758414,69.443954
20220118T0300,0.6802454,0.0,5.1919937,56.30993
20220118T0400,0.64024544,0.0,5.1165614,50.7106
20220118T0500,0.6902454,0.0,5.1165614,50.7106
20220118T0600,0.6902454,0.0,5.8603754,47.489548
20220118T0700,0.89024544,0.0,5.904439,37.568573
20220118T0800,1.4302454,0.0,7.7043357,37.40535
20220118T0900,2.5702453,0.0,9.726664,38.990982
20220118T1000,3.7902455,0.0,7.6367526,44.999985
20220118T1100,4.6202455,0.0,11.885453,54.86579
