"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1999","S.2","P.72","53269.0344421633","A","Y"
"1999","S.2","P.72","9.45214145584161","A","AC"
"1999","S.2","P.72","9.98597831387913","A","ACPP"
"1999","S.2","P.6","209329.035749321","A","MCHF"
"1999","S.2","P.6","209072.471068008","A","Y"
"1999","S.2","P.6","3.44600006668378","A","AC"
"1999","S.2","P.6","3.31921120557219","A","ACPP"
"1999","S.2","P.61","140503.475249519","A","MCHF"
"1999","S.2","P.61","141458.935989706","A","Y"
"1999","S.2","P.61","1.16479491601772","A","AC"
"1999","S.2","P.61","1.85274224016518","A","ACPP"
"1999","S.2","P.61c","123782.009683519","A","MCHF"
"1999","S.2","P.61c","124573.583671715","A","Y"
"1999","S.2","P.61c","5.86030515582823","A","AC"
"1999","S.2","P.61c","6.53727157573118","A","ACPP"
"1999","S.2","P.62","68825.5604998021","A","MCHF"
"1999","S.2","P.62","67613.5350783018","A","Y"
"1999","S.2","P.62","8.43774908930944","A","AC"
"1999","S.2","P.62","6.528148824639","A","ACPP"
"2000","S.1","B.1*b","471540.038343875","A","MCHF"
"2000","S.1","B.1*b","465179.703871067","A","Y"
"2000","S.1","B.1*b","5.38013231607663","A","AC"
"2000","S.1","B.1*b","3.95871985092711","A","ACPP"
"2000","S.1","P.3","319832.496645504","A","MCHF"
"2000","S.1","P.3","316262.19669124","A","Y"
"2000","S.1","P.3","3.32737332973758","A","AC"
"2000","S.1","P.3","2.17392669707003","A","ACPP"
"2000","S.1","P.51b","129730.297916881","A","MCHF"
"2000","S.1","P.51b","127778.67108299","A","Y"
"2000","S.1","P.51b","6.37772758776841","A","AC"
"2000","S.1","P.51b","4.77741038336557","A","ACPP"
"2000","S.1","P.5111be","85899.4994400154","A","MCHF"
"2000","S.1","P.5111be","85768.643778706","A","Y"
"2000","S.1","P.5111be","5.93450476275864","A","AC"
"2000","S.1","P.5111be","5.77312862242509","A","ACPP"
"2000","S.1","P.5111c","43830.7984768658","A","MCHF"
"2000","S.1","P.5111c","42010.0273042837","A","Y"
"2000","S.1","P.5111c","7.25720033093865","A","AC"
"2000","S.1","P.5111c","2.80163882622376","A","ACPP"
"2000","S.1","P.52","2747.28390058093","A","MCHF"
"2000","S.1","P.52","-2074.61687640764","A","Y"
"2000","S.1","P.52","273.243405868912","A","AC"
"2000","S.1","P.52","-30.8251009173032","A","ACPP"
"2000","S.1","P.53","-4057.46720681126","A","MCHF"
"2000","S.1","P.53","-3275.50187384274","A","Y"
"2000","S.1","P.53","-602.008785021792","A","AC"
"2000","S.1","P.53","-505.260383439222","A","ACPP"
"2000","S.1","P.5","128420.114610651","A","MCHF"
"2000","S.1","P.5","122428.552332739","A","Y"
"2000","S.1","P.5","5.97909284221294","A","AC"
"2000","S.1","P.5","1.0345377244586","A","ACPP"
"2000","S.13","P.3","52623.35419827","A","MCHF"
"2000","S.13","P.3","51701.5741389776","A","Y"
"2000","S.13","P.3","3.59678508932331","A","AC"
"2000","S.13","P.3","1.78212594877623","A","ACPP"
"2000","S.14+S15","P.3","267209.142447234","A","MCHF"
"2000","S.14+S15","P.3","264560.622552262","A","Y"
"2000","S.14+S15","P.3","3.2744812668516","A","AC"
"2000","S.14+S15","P.3","2.25084668693755","A","ACPP"
"2000","S.2","P.7","219262.030848922","A","MCHF"
"2000","S.2","P.7","208239.721486753","A","Y"
"2000","S.2","P.7","13.8601379117416","A","AC"
"2000","S.2","P.7","8.13638510682877","A","ACPP"
"2000","S.2","P.71","158118.99044546","A","MCHF"
"2000","S.2","P.71","147943.488263788","A","Y"
"2000","S.2","P.71","13.297494078704","A","AC"
"2000","S.2","P.71","6.00640971921038","A","ACPP"
"2000","S.2","P.71c","140332.157325818","A","MCHF"
"2000","S.2","P.71c","131813.722847742","A","Y"
"2000","S.2","P.71c","15.1270295219124","A","AC"
"2000","S.2","P.71c","8.13859525049322","A","ACPP"
"2000","S.2","P.72","61143.0404034617","A","MCHF"
"2000","S.2","P.72","60296.233222965","A","Y"
"2000","S.2","P.72","15.3414123414723","A","AC"
"2000","S.2","P.72","13.7439789208428","A","ACPP"
"2000","S.2","P.6","242549.457936641","A","MCHF"
"2000","S.2","P.6","234728.676333841","A","Y"
"2000","S.2","P.6","15.8699542413708","A","AC"
"2000","S.2","P.6","12.133835372431","A","ACPP"
"2000","S.2","P.61","160692.455834214","A","MCHF"
"2000","S.2","P.61","155076.653956143","A","Y"
"2000","S.2","P.61","14.3690257830574","A","AC"
"2000","S.2","P.61","10.3721126333307","A","ACPP"
"2000","S.2","P.61c","138271.595883214","A","MCHF"
"2000","S.2","P.61c","134760.901416892","A","Y"
"2000","S.2","P.61c","11.7057286731258","A","AC"
"2000","S.2","P.61c","8.86953747272597","A","ACPP"
"2000","S.2","P.62","81857.0021024272","A","MCHF"
"2000","S.2","P.62","79652.022377698","A","Y"
"2000","S.2","P.62","18.9340144969289","A","AC"
"2000","S.2","P.62","15.7302923496381","A","ACPP"
"2001","S.1","B.1*b","483636.918238319","A","MCHF"
"2001","S.1","B.1*b","478969.915470808","A","Y"
"2001","S.1","B.1*b","2.5653982505769","A","AC"
"2001","S.1","B.1*b","1.57566198472292","A","ACPP"
"2001","S.1","P.3","328579.574917952","A","MCHF"
"2001","S.1","P.3","326584.072151833","A","Y"
"2001","S.1","P.3","2.7348935346438","A","AC"
"2001","S.1","P.3","2.11097232993545","A","ACPP"
"2001","S.1","P.51b","129931.924598141","A","MCHF"
"2001","S.1","P.51b","127886.157646734","A","Y"
"2001","S.1","P.51b","0.155419886100297","A","AC"
"2001","S.1","P.51b","-1.42151856563874","A","ACPP"
"2001","S.1","P.5111be","86152.9782473468","A","MCHF"
"2001","S.1","P.5111be","85530.0495358678","A","Y"
"2001","S.1","P.5111be","0.295087641934903","A","AC"
"2001","S.1","P.5111be","-0.430095526232472","A","ACPP"
"2001","S.1","P.5111c","43778.9463507944","A","MCHF"
"2001","S.1","P.5111c","42356.1081108665","A","Y"
"2001","S.1","P.5111c","-0.118300664996475","A","AC"
"2001","S.1","P.5111c","-3.36450718956823","A","ACPP"
"2001","S.1","P.52","3218.92949702867","A","MCHF"
"2001","S.1","P.52","4047.41527788271","A","Y"
"2001","S.1","P.52","17.1677050321595","A","AC"
"2001","S.1","P.52","47.3242454857636","A","ACPP"
"2001","S.1","P.53","793.052963185398","A","MCHF"
"2001","S.1","P.53","25.5220020638816","A","Y"
"2001","S.1","P.53","119.545517505455","A","AC"
"2001","S.1","P.53","100.629013144482","A","ACPP"
"2001","S.1","P.5","133943.907058355","A","MCHF"
"2001","S.1","P.5","131959.094926681","A","Y"
"2001","S.1","P.5","4.30134520939466","A","AC"
"2001","S.1","P.5","2.75578348980581","A","ACPP"
"2001","S.13","P.3","53992.10055376","A","MCHF"
"2001","S.13","P.3","53034.0621424406","A","Y"
"2001","S.13","P.3","2.60102453814127","A","AC"
"2001","S.13","P.3","0.780467057692912","A","ACPP"
"2001","S.14+S15","P.3","274587.474364192","A","MCHF"
"2001","S.14+S15","P.3","273550.010009392","A","Y"
"2001","S.14+S15","P.3","2.76125728685151","A","AC"
"2001","S.14+S15","P.3","2.37299798355882","A","ACPP"
"2001","S.2","P.7","221685.337779011","A","MCHF"
"2001","S.2","P.7","222366.641154787","A","Y"
"2001","S.2","P.7","1.10521047383669","A","AC"
"2001","S.2","P.7","1.41593612621643","A","ACPP"
"2001","S.2","P.71","161056.684651136","A","MCHF"
"2001","S.2","P.71","161019.830541751","A","Y"
"2001","S.2","P.71","1.85790093738886","A","AC"
"2001","S.2","P.71","1.834593104926","A","ACPP"
